transaction_id,bill_id,date,store_id,store_location,customer_id,customer_segment,product_id,product_category,product_name,quantity,unit_price,payment_method,discount_applied,channel
TXN-2025-00032,BILL-1032,2025-01-16,S4,City Center,C315,Regular,P103,Beverages,Sparkling Water,1,1.8,UPI,0.09,In-store
TXN-2025-00033,BILL-1016,2025-02-12,S1,Downtown,C239,Regular,P302,Personal Care,Toothpaste 100g,1,2.2,Cash,0.08,In-store
TXN-2025-00034,BILL-1017,2025-02-17,S4,City Center,C180,Regular,P203,Snacks,Chocolate Cookies,1,2.0,Credit Card,0.05,In-store
TXN-2025-00035,BILL-1011,2025-03-08,S3,Suburban,C118,New,P402,Household,Dish Soap 500ml,2,3.0,Credit Card,0.07,In-store
TXN-2025-00036,BILL-1036,2025-01-27,S1,Downtown,C377,Regular,P403,Household,Garbage Bags 20pcs,1,2.8,Cash,0.26,Online
TXN-2025-00037,BILL-1037,2025-02-28,S2,Uptown,C044,Regular,P401,Household,Laundry Detergent 1kg,2,6.5,Cash,0.4,Online
TXN-2025-00038,BILL-1019,2025-02-05,S1,Downtown,C471,New,P403,Household,Garbage Bags 20pcs,1,2.8,UPI,0.05,In-store
TXN-2025-00039,BILL-1019,2025-02-26,S3,Suburban,C094,New,P301,Personal Care,Shampoo 250ml,1,4.0,Credit Card,0.07,In-store
TXN-2025-00040,BILL-1020,2025-02-11,S3,Suburban,C337,Regular,P101,Beverages,Orange Juice 1L,2,3.5,Cash,0.18,In-store
TXN-2025-00041,BILL-1013,2025-01-09,S2,Uptown,C147,Loyal,P103,Beverages,Sparkling Water,4,1.8,UPI,0.22,In-store
TXN-2025-00042,BILL-1014,2025-01-20,S3,Suburban,C178,Loyal,P101,Beverages,Orange Juice 1L,3,3.5,UPI,0.3,Online
TXN-2025-00043,BILL-1014,2025-02-25,S2,Uptown,C275,Regular,P301,Personal Care,Shampoo 250ml,1,4.0,Cash,0.23,In-store
TXN-2025-00044,BILL-1022,2025-01-16,S4,City Center,C186,Regular,P103,Beverages,Sparkling Water,3,1.8,Cash,0.15,In-store
TXN-2025-00045,BILL-1015,2025-03-01,S1,Downtown,C202,Regular,P403,Household,Garbage Bags 20pcs,1,2.8,UPI,0.34,In-store
TXN-2025-00046,BILL-1015,2025-01-08,S4,City Center,C312,Regular,P101,Beverages,Orange Juice 1L,2,3.5,Cash,0.18,In-store
TXN-2025-00047,BILL-1047,2025-01-05,S3,Suburban,C216,Regular,P403,Household,Garbage Bags 20pcs,1,2.8,Cash,0.23,Online
TXN-2025-00048,BILL-1048,2025-02-28,S2,Uptown,C335,New,P401,Household,Laundry Detergent 1kg,1,6.5,UPI,0.12,In-store
TXN-2025-00049,BILL-1024,2025-01-29,S3,Suburban,C141,Loyal,P203,Snacks,Chocolate Cookies,5,2.0,Credit Card,0.13,In-store
TXN-2025-00050,BILL-1016,2025-01-21,S1,Downtown,C076,Loyal,P402,Household,Dish Soap 500ml,2,3.0,UPI,0.52,In-store
TXN-2025-00051,BILL-1051,2025-03-15,S4,City Center,C361,New,P203,Snacks,Chocolate Cookies,1,2.0,UPI,0.02,In-store
TXN-2025-00052,BILL-1052,2025-01-31,S3,Suburban,C337,Regular,P201,Snacks,Potato Chips,4,1.2,Credit Card,0.05,Online
TXN-2025-00053,BILL-1053,2025-01-08,S4,City Center,C422,Regular,P302,Personal Care,Toothpaste 100g,1,2.2,Credit Card,0.23,In-store
TXN-2025-00054,BILL-1054,2025-02-12,S4,City Center,C418,Regular,P301,Personal Care,Shampoo 250ml,1,4.0,Credit Card,0.09,In-store
TXN-2025-00055,BILL-1018,2025-01-21,S3,Suburban,C374,New,P201,Snacks,Potato Chips,1,1.2,Cash,0.02,In-store
TXN-2025-00056,BILL-1018,2025-01-31,S1,Downtown,C313,Regular,P403,Household,Garbage Bags 20pcs,1,2.8,UPI,0.1,Online
TXN-2025-00057,BILL-1057,2025-01-16,S2,Uptown,C322,Regular,P201,Snacks,Potato Chips,1,1.2,Cash,0.03,In-store
TXN-2025-00058,BILL-1058,2025-01-23,S2,Uptown,C287,Regular,P202,Snacks,Protein Bar,4,2.5,Cash,0.08,In-store
TXN-2025-00059,BILL-1059,2025-02-08,S3,Suburban,C147,Regular,P401,Household,Laundry Detergent 1kg,4,6.5,Cash,0.11,In-store
TXN-2025-00060,BILL-1060,2025-03-27,S1,Downtown,C429,Loyal,P101,Beverages,Orange Juice 1L,6,3.5,Credit Card,0.18,In-store
TXN-2025-00061,BILL-1020,2025-01-08,S1,Downtown,C046,Loyal,P103,Beverages,Sparkling Water,5,1.8,UPI,0.19,In-store
TXN-2025-00062,BILL-1062,2025-03-14,S3,Suburban,C390,Loyal,P203,Snacks,Chocolate Cookies,5,2.0,Credit Card,0.07,In-store
TXN-2025-00063,BILL-1031,2025-01-24,S3,Suburban,C407,Regular,P303,Personal Care,Handwash 300ml,3,3.0,UPI,0.15,In-store
TXN-2025-00064,BILL-1021,2025-03-13,S4,City Center,C260,Regular,P101,Beverages,Orange Juice 1L,1,3.5,Credit Card,0.2,In-store
TXN-2025-00065,BILL-1065,2025-02-19,S4,City Center,C059,Loyal,P203,Snacks,Chocolate Cookies,3,2.0,UPI,0.12,In-store
TXN-2025-00066,BILL-1033,2025-02-22,S2,Uptown,C183,Loyal,P103,Beverages,Sparkling Water,6,1.8,Cash,0.11,In-store
TXN-2025-00067,BILL-1033,2025-01-06,S4,City Center,C076,Loyal,P403,Household,Garbage Bags 20pcs,2,2.8,UPI,0.58,In-store
TXN-2025-00068,BILL-1068,2025-03-16,S1,Downtown,C438,Regular,P101,Beverages,Orange Juice 1L,1,3.5,Credit Card,0.12,In-store
TXN-2025-00069,BILL-1034,2025-01-17,S4,City Center,C238,Regular,P301,Personal Care,Shampoo 250ml,2,4.0,Cash,0.07,In-store
TXN-2025-00070,BILL-1023,2025-02-16,S3,Suburban,C396,Regular,P101,Beverages,Orange Juice 1L,2,3.5,Credit Card,0.16,Online
TXN-2025-00071,BILL-1035,2025-03-18,S4,City Center,C239,Regular,P103,Beverages,Sparkling Water,3,1.8,Cash,0.19,Online
TXN-2025-00072,BILL-1072,2025-01-17,S2,Uptown,C285,Regular,P301,Personal Care,Shampoo 250ml,4,4.0,Cash,0.09,Online
TXN-2025-00073,BILL-1024,2025-01-01,S3,Suburban,C354,Regular,P203,Snacks,Chocolate Cookies,1,2.0,Credit Card,0.05,In-store
TXN-2025-00074,BILL-1024,2025-02-25,S1,Downtown,C227,Regular,P203,Snacks,Chocolate Cookies,3,2.0,Cash,0.06,In-store
TXN-2025-00075,BILL-1037,2025-03-14,S1,Downtown,C332,Regular,P302,Personal Care,Toothpaste 100g,4,2.2,Cash,0.07,In-store
TXN-2025-00076,BILL-1025,2025-03-16,S4,City Center,C213,New,P403,Household,Garbage Bags 20pcs,2,2.8,Cash,0.07,Online
TXN-2025-00077,BILL-1025,2025-01-30,S1,Downtown,C114,Regular,P102,Beverages,Organic Green Tea,4,4.2,Credit Card,0.09,Online
TXN-2025-00078,BILL-1026,2025-02-09,S4,City Center,C368,Loyal,P203,Snacks,Chocolate Cookies,4,2.0,UPI,0.11,Online
TXN-2025-00079,BILL-1079,2025-03-23,S4,City Center,C340,Regular,P103,Beverages,Sparkling Water,1,1.8,Credit Card,0.11,In-store
TXN-2025-00080,BILL-1026,2025-03-23,S3,Suburban,C110,Regular,P403,Household,Garbage Bags 20pcs,1,2.8,Credit Card,0.19,In-store
TXN-2025-00081,BILL-1027,2025-03-29,S3,Suburban,C314,Regular,P103,Beverages,Sparkling Water,1,1.8,Cash,0.16,In-store
TXN-2025-00082,BILL-1027,2025-02-25,S2,Uptown,C264,Regular,P402,Household,Dish Soap 500ml,3,3.0,Cash,0.25,In-store
TXN-2025-00083,BILL-1027,2025-03-17,S1,Downtown,C107,New,P202,Snacks,Protein Bar,1,2.5,UPI,0.05,In-store
TXN-2025-00084,BILL-1042,2025-03-18,S4,City Center,C258,Loyal,P103,Beverages,Sparkling Water,3,1.8,Cash,0.17,Online
TXN-2025-00085,BILL-1028,2025-01-22,S3,Suburban,C198,Regular,P301,Personal Care,Shampoo 250ml,3,4.0,Cash,0.21,Online
TXN-2025-00086,BILL-1043,2025-03-22,S2,Uptown,C210,Regular,P401,Household,Laundry Detergent 1kg,2,6.5,Credit Card,0.2,In-store
TXN-2025-00087,BILL-1029,2025-01-26,S2,Uptown,C420,Loyal,P301,Personal Care,Shampoo 250ml,4,4.0,Credit Card,0.2,In-store
TXN-2025-00088,BILL-1088,2025-02-10,S4,City Center,C164,Regular,P201,Snacks,Potato Chips,1,1.2,UPI,0.05,In-store
TXN-2025-00089,BILL-1029,2025-03-23,S1,Downtown,C469,Loyal,P201,Snacks,Potato Chips,5,1.2,UPI,0.11,In-store
TXN-2025-00090,BILL-1090,2025-01-31,S2,Uptown,C448,Regular,P302,Personal Care,Toothpaste 100g,1,2.2,Cash,0.19,In-store
TXN-2025-00091,BILL-1091,2025-01-06,S4,City Center,C459,Regular,P402,Household,Dish Soap 500ml,2,3.0,Credit Card,0.4,Online
TXN-2025-00092,BILL-1030,2025-01-20,S2,Uptown,C473,New,P402,Household,Dish Soap 500ml,1,3.0,Cash,0.14,In-store
TXN-2025-00093,BILL-1046,2025-02-01,S4,City Center,C402,New,P203,Snacks,Chocolate Cookies,1,2.0,Credit Card,0.04,In-store
TXN-2025-00094,BILL-1047,2025-01-12,S4,City Center,C453,Regular,P302,Personal Care,Toothpaste 100g,4,2.2,Cash,0.3,In-store
TXN-2025-00095,BILL-1047,2025-03-16,S4,City Center,C033,Regular,P201,Snacks,Potato Chips,3,1.2,Credit Card,0.03,In-store
TXN-2025-00096,BILL-1048,2025-01-15,S1,Downtown,C438,New,P102,Beverages,Organic Green Tea,2,4.2,Cash,0.06,Online
TXN-2025-00097,BILL-1032,2025-03-01,S3,Suburban,C194,Loyal,P303,Personal Care,Handwash 300ml,6,3.0,Cash,0.2,In-store
TXN-2025-00098,BILL-1098,2025-01-01,S4,City Center,C238,New,P402,Household,Dish Soap 500ml,1,3.0,Cash,0.2,In-store
TXN-2025-00099,BILL-1099,2025-02-24,S4,City Center,C046,Regular,P202,Snacks,Protein Bar,1,2.5,UPI,0.03,In-store
TXN-2025-00100,BILL-1050,2025-02-27,S2,Uptown,C009,Regular,P302,Personal Care,Toothpaste 100g,4,2.2,UPI,0.18,Online
TXN-2025-00101,BILL-1101,2025-01-27,S4,City Center,C195,Loyal,P202,Snacks,Protein Bar,5,2.5,Cash,0.1,Online
TXN-2025-00102,BILL-1102,2025-02-15,S1,Downtown,C436,Regular,P303,Personal Care,Handwash 300ml,4,3.0,UPI,0.11,In-store
TXN-2025-00103,BILL-1034,2025-02-13,S3,Suburban,C411,New,P101,Beverages,Orange Juice 1L,2,3.5,Credit Card,0.07,In-store
TXN-2025-00104,BILL-1052,2025-03-26,S2,Uptown,C441,New,P302,Personal Care,Toothpaste 100g,2,2.2,Cash,0.1,In-store
TXN-2025-00105,BILL-1035,2025-02-16,S2,Uptown,C204,New,P102,Beverages,Organic Green Tea,1,4.2,UPI,0.06,In-store
TXN-2025-00106,BILL-1106,2025-03-06,S3,Suburban,C390,Regular,P201,Snacks,Potato Chips,1,1.2,Cash,0.07,In-store
TXN-2025-00107,BILL-1107,2025-01-12,S3,Suburban,C060,Loyal,P103,Beverages,Sparkling Water,6,1.8,UPI,0.2,In-store
TXN-2025-00108,BILL-1054,2025-01-24,S2,Uptown,C256,New,P201,Snacks,Potato Chips,2,1.2,Cash,0.03,Online
TXN-2025-00109,BILL-1036,2025-02-28,S4,City Center,C124,Regular,P201,Snacks,Potato Chips,3,1.2,Cash,0.1,Online
TXN-2025-00110,BILL-1055,2025-02-14,S1,Downtown,C285,New,P103,Beverages,Sparkling Water,2,1.8,Credit Card,0.06,In-store
TXN-2025-00111,BILL-1111,2025-01-17,S1,Downtown,C128,New,P303,Personal Care,Handwash 300ml,2,3.0,UPI,0.04,In-store
TXN-2025-00112,BILL-1056,2025-02-02,S2,Uptown,C391,Regular,P403,Household,Garbage Bags 20pcs,4,2.8,UPI,0.15,In-store
TXN-2025-00113,BILL-1113,2025-02-15,S3,Suburban,C443,New,P103,Beverages,Sparkling Water,1,1.8,Cash,0.04,Online
TXN-2025-00114,BILL-1114,2025-01-15,S3,Suburban,C052,Regular,P402,Household,Dish Soap 500ml,4,3.0,Cash,0.4,Online
TXN-2025-00115,BILL-1038,2025-03-10,S4,City Center,C296,New,P303,Personal Care,Handwash 300ml,1,3.0,UPI,0.05,In-store
TXN-2025-00116,BILL-1116,2025-03-03,S4,City Center,C387,Regular,P102,Beverages,Organic Green Tea,2,4.2,UPI,0.18,Online
TXN-2025-00117,BILL-1039,2025-01-28,S3,Suburban,C234,Regular,P303,Personal Care,Handwash 300ml,4,3.0,UPI,0.06,In-store
TXN-2025-00118,BILL-1039,2025-01-11,S1,Downtown,C009,Regular,P303,Personal Care,Handwash 300ml,1,3.0,Credit Card,0.15,In-store
TXN-2025-00119,BILL-1059,2025-02-02,S1,Downtown,C480,Loyal,P203,Snacks,Chocolate Cookies,4,2.0,UPI,0.15,Online
TXN-2025-00120,BILL-1060,2025-02-15,S4,City Center,C117,Loyal,P203,Snacks,Chocolate Cookies,2,2.0,UPI,0.13,Online
TXN-2025-00121,BILL-1060,2025-03-28,S4,City Center,C372,New,P101,Beverages,Orange Juice 1L,2,3.5,Cash,0.08,In-store
TXN-2025-00122,BILL-1040,2025-03-15,S2,Uptown,C393,Regular,P102,Beverages,Organic Green Tea,1,4.2,UPI,0.13,In-store
TXN-2025-00123,BILL-1061,2025-03-27,S2,Uptown,C443,Loyal,P202,Snacks,Protein Bar,6,2.5,UPI,0.14,In-store
TXN-2025-00124,BILL-1062,2025-02-19,S1,Downtown,C353,Loyal,P202,Snacks,Protein Bar,5,2.5,Cash,0.12,In-store
TXN-2025-00125,BILL-1125,2025-01-11,S4,City Center,C298,Regular,P102,Beverages,Organic Green Tea,2,4.2,Cash,0.15,Online
TXN-2025-00126,BILL-1126,2025-03-29,S2,Uptown,C067,New,P301,Personal Care,Shampoo 250ml,1,4.0,UPI,0.08,Online
TXN-2025-00127,BILL-1127,2025-03-05,S1,Downtown,C289,Regular,P302,Personal Care,Toothpaste 100g,4,2.2,Credit Card,0.25,In-store
TXN-2025-00128,BILL-1042,2025-03-11,S2,Uptown,C418,New,P103,Beverages,Sparkling Water,2,1.8,Credit Card,0.09,In-store
TXN-2025-00129,BILL-1064,2025-01-18,S3,Suburban,C417,Regular,P403,Household,Garbage Bags 20pcs,4,2.8,UPI,0.29,Online
TXN-2025-00130,BILL-1130,2025-01-15,S1,Downtown,C444,New,P302,Personal Care,Toothpaste 100g,1,2.2,Credit Card,0.12,In-store
TXN-2025-00131,BILL-1043,2025-02-14,S1,Downtown,C431,Regular,P203,Snacks,Chocolate Cookies,3,2.0,UPI,0.07,In-store
TXN-2025-00132,BILL-1132,2025-02-22,S1,Downtown,C243,Regular,P303,Personal Care,Handwash 300ml,2,3.0,Cash,0.08,In-store
TXN-2025-00133,BILL-1044,2025-03-13,S3,Suburban,C272,Regular,P302,Personal Care,Toothpaste 100g,1,2.2,UPI,0.1,In-store
TXN-2025-00134,BILL-1044,2025-03-14,S4,City Center,C465,Regular,P202,Snacks,Protein Bar,1,2.5,UPI,0.07,In-store
TXN-2025-00135,BILL-1045,2025-01-07,S1,Downtown,C500,Loyal,P401,Household,Laundry Detergent 1kg,4,6.5,Cash,0.53,Online
TXN-2025-00136,BILL-1068,2025-03-02,S1,Downtown,C441,Regular,P101,Beverages,Orange Juice 1L,1,3.5,UPI,0.17,In-store
TXN-2025-00137,BILL-1068,2025-03-17,S2,Uptown,C308,Regular,P201,Snacks,Potato Chips,4,1.2,Cash,0.06,Online
TXN-2025-00138,BILL-1046,2025-01-12,S4,City Center,C052,Regular,P303,Personal Care,Handwash 300ml,3,3.0,Credit Card,0.21,In-store
TXN-2025-00139,BILL-1139,2025-01-12,S3,Suburban,C101,Regular,P103,Beverages,Sparkling Water,1,1.8,UPI,0.05,In-store
TXN-2025-00140,BILL-1140,2025-03-16,S4,City Center,C252,Regular,P401,Household,Laundry Detergent 1kg,4,6.5,Cash,0.32,In-store
TXN-2025-00141,BILL-1070,2025-02-09,S4,City Center,C466,New,P402,Household,Dish Soap 500ml,1,3.0,UPI,0.05,Online
TXN-2025-00142,BILL-1142,2025-03-03,S4,City Center,C099,Regular,P302,Personal Care,Toothpaste 100g,4,2.2,Credit Card,0.2,Online
TXN-2025-00143,BILL-1071,2025-01-18,S1,Downtown,C133,Regular,P203,Snacks,Chocolate Cookies,4,2.0,Credit Card,0.07,In-store
TXN-2025-00144,BILL-1048,2025-03-05,S4,City Center,C135,Regular,P101,Beverages,Orange Juice 1L,1,3.5,Cash,0.07,In-store
TXN-2025-00145,BILL-1048,2025-03-19,S1,Downtown,C079,New,P403,Household,Garbage Bags 20pcs,2,2.8,Cash,0.17,Online
TXN-2025-00146,BILL-1073,2025-02-13,S2,Uptown,C380,Regular,P302,Personal Care,Toothpaste 100g,3,2.2,Credit Card,0.07,In-store
TXN-2025-00147,BILL-1049,2025-03-30,S3,Suburban,C223,Regular,P202,Snacks,Protein Bar,1,2.5,Credit Card,0.08,In-store
TXN-2025-00148,BILL-1148,2025-01-24,S4,City Center,C484,Regular,P402,Household,Dish Soap 500ml,1,3.0,UPI,0.33,In-store
TXN-2025-00149,BILL-1149,2025-03-07,S2,Uptown,C427,New,P403,Household,Garbage Bags 20pcs,1,2.8,UPI,0.08,In-store
TXN-2025-00150,BILL-1050,2025-02-08,S4,City Center,C368,New,P202,Snacks,Protein Bar,1,2.5,Credit Card,0.03,Online
TXN-2025-00151,BILL-1151,2025-03-16,S3,Suburban,C290,Regular,P303,Personal Care,Handwash 300ml,4,3.0,Cash,0.25,In-store
TXN-2025-00152,BILL-1076,2025-02-01,S1,Downtown,C106,Regular,P402,Household,Dish Soap 500ml,1,3.0,Credit Card,0.13,Online
TXN-2025-00153,BILL-1051,2025-02-28,S3,Suburban,C111,Regular,P302,Personal Care,Toothpaste 100g,2,2.2,UPI,0.14,In-store
TXN-2025-00154,BILL-1154,2025-03-08,S2,Uptown,C287,Regular,P301,Personal Care,Shampoo 250ml,4,4.0,UPI,0.19,Online
TXN-2025-00155,BILL-1051,2025-02-07,S2,Uptown,C406,Regular,P203,Snacks,Chocolate Cookies,3,2.0,Cash,0.07,In-store
TXN-2025-00156,BILL-1052,2025-01-31,S3,Suburban,C484,New,P302,Personal Care,Toothpaste 100g,1,2.2,UPI,0.07,In-store
TXN-2025-00157,BILL-1052,2025-01-07,S4,City Center,C038,Regular,P301,Personal Care,Shampoo 250ml,3,4.0,Credit Card,0.25,Online
TXN-2025-00158,BILL-1079,2025-01-13,S4,City Center,C425,New,P402,Household,Dish Soap 500ml,2,3.0,Cash,0.19,In-store
TXN-2025-00159,BILL-1079,2025-01-17,S4,City Center,C425,New,P303,Personal Care,Handwash 300ml,2,3.0,UPI,0.14,In-store
TXN-2025-00160,BILL-1053,2025-01-29,S3,Suburban,C488,Regular,P303,Personal Care,Handwash 300ml,1,3.0,UPI,0.23,Online
TXN-2025-00161,BILL-1080,2025-01-07,S4,City Center,C317,Regular,P201,Snacks,Potato Chips,2,1.2,UPI,0.04,Online
TXN-2025-00162,BILL-1054,2025-01-01,S3,Suburban,C319,Regular,P202,Snacks,Protein Bar,4,2.5,UPI,0.1,Online
TXN-2025-00163,BILL-1054,2025-02-22,S1,Downtown,C188,New,P202,Snacks,Protein Bar,2,2.5,UPI,0.01,In-store
TXN-2025-00164,BILL-1054,2025-01-29,S3,Suburban,C242,Regular,P301,Personal Care,Shampoo 250ml,2,4.0,UPI,0.25,In-store
TXN-2025-00165,BILL-1082,2025-03-14,S2,Uptown,C031,Loyal,P403,Household,Garbage Bags 20pcs,4,2.8,Cash,0.46,In-store
TXN-2025-00166,BILL-1166,2025-03-19,S2,Uptown,C441,Regular,P401,Household,Laundry Detergent 1kg,1,6.5,Cash,0.16,In-store
TXN-2025-00167,BILL-1167,2025-03-22,S1,Downtown,C259,Regular,P101,Beverages,Orange Juice 1L,2,3.5,UPI,0.17,In-store
TXN-2025-00168,BILL-1056,2025-01-25,S2,Uptown,C233,Loyal,P302,Personal Care,Toothpaste 100g,6,2.2,UPI,0.36,In-store
TXN-2025-00169,BILL-1056,2025-02-25,S3,Suburban,C312,Regular,P203,Snacks,Chocolate Cookies,3,2.0,Cash,0.07,In-store
TXN-2025-00170,BILL-1056,2025-01-18,S3,Suburban,C127,Regular,P301,Personal Care,Shampoo 250ml,3,4.0,Cash,0.09,In-store
TXN-2025-00171,BILL-1085,2025-02-21,S2,Uptown,C087,Regular,P202,Snacks,Protein Bar,1,2.5,UPI,0.05,In-store
TXN-2025-00172,BILL-1057,2025-03-16,S3,Suburban,C002,Regular,P103,Beverages,Sparkling Water,2,1.8,UPI,0.12,In-store
TXN-2025-00173,BILL-1173,2025-02-28,S3,Suburban,C310,New,P201,Snacks,Potato Chips,2,1.2,UPI,0.03,Online
TXN-2025-00174,BILL-1174,2025-03-12,S4,City Center,C333,Regular,P303,Personal Care,Handwash 300ml,2,3.0,Cash,0.2,In-store
TXN-2025-00175,BILL-1058,2025-03-11,S1,Downtown,C221,New,P103,Beverages,Sparkling Water,2,1.8,Cash,0.02,Online
TXN-2025-00176,BILL-1176,2025-02-06,S1,Downtown,C121,Regular,P402,Household,Dish Soap 500ml,4,3.0,UPI,0.37,Online
TXN-2025-00177,BILL-1059,2025-03-26,S4,City Center,C027,Regular,P203,Snacks,Chocolate Cookies,4,2.0,UPI,0.06,Online
TXN-2025-00178,BILL-1178,2025-03-18,S4,City Center,C473,Regular,P401,Household,Laundry Detergent 1kg,2,6.5,Credit Card,0.12,In-store
TXN-2025-00179,BILL-1089,2025-03-22,S3,Suburban,C105,Loyal,P303,Personal Care,Handwash 300ml,3,3.0,Credit Card,0.2,Online
TXN-2025-00180,BILL-1180,2025-01-02,S4,City Center,C113,Loyal,P102,Beverages,Organic Green Tea,2,4.2,Credit Card,0.19,In-store
TXN-2025-00181,BILL-1181,2025-01-25,S3,Suburban,C126,Loyal,P103,Beverages,Sparkling Water,3,1.8,Cash,0.19,In-store
TXN-2025-00182,BILL-1060,2025-02-12,S3,Suburban,C494,New,P202,Snacks,Protein Bar,2,2.5,UPI,0.04,In-store
TXN-2025-00183,BILL-1183,2025-03-03,S2,Uptown,C002,Regular,P201,Snacks,Potato Chips,1,1.2,UPI,0.09,In-store
TXN-2025-00184,BILL-1184,2025-03-29,S2,Uptown,C405,Regular,P101,Beverages,Orange Juice 1L,2,3.5,UPI,0.19,In-store
TXN-2025-00185,BILL-1061,2025-03-01,S4,City Center,C274,Regular,P103,Beverages,Sparkling Water,2,1.8,Credit Card,0.08,Online
TXN-2025-00186,BILL-1062,2025-02-26,S3,Suburban,C164,Regular,P101,Beverages,Orange Juice 1L,3,3.5,Cash,0.05,In-store
